Samle number,Pool name,strain,Library,Trans repeat,Time point,Time point repeat,Well barcode number
1,febseq_1,NONDBDOE_dmsn4,Msn2A,A,0,1,1
2,febseq_1,NONDBDOE_dmsn4,Msn2A,A,0,2,2
3,febseq_1,NONDBDOE_dmsn4,Msn2A,A,0,3,3
4,febseq_1,NONDBDOE_dmsn4,Msn2B,A,0,1,4
5,febseq_1,NONDBDOE_dmsn4,Msn2B,A,0,2,5
6,febseq_1,NONDBDOE_dmsn4,Msn2B,A,0,3,6
7,febseq_1,NONDBDOE_dmsn4,Msn2C,A,0,1,7
8,febseq_1,NONDBDOE_dmsn4,Msn2C,A,0,2,8
9,febseq_1,NONDBDOE_dmsn4,Msn2C,A,0,3,9
10,febseq_1,NONDBDOE_dmsn4,Msn2D,A,0,1,10
11,febseq_1,NONDBDOE_dmsn4,Msn2D,A,0,2,11
12,febseq_1,NONDBDOE_dmsn4,Msn2D,A,0,3,12
13,febseq_1,NONDBDOE_dmsn4,Msn2E,A,0,1,13
14,febseq_1,NONDBDOE_dmsn4,Msn2E,A,0,2,14
15,febseq_1,NONDBDOE_dmsn4,Msn2E,A,0,3,15
16,febseq_1,NONDBDOE_dmsn4,Msn2F,A,0,1,16
17,febseq_1,NONDBDOE_dmsn4,Msn2F,A,0,2,17
18,febseq_1,NONDBDOE_dmsn4,Msn2F,A,0,3,18
19,febseq_1,NONDBDOE_dmsn4,Msn2G,A,0,1,19
20,febseq_1,NONDBDOE_dmsn4,Msn2G,A,0,2,20
21,febseq_1,NONDBDOE_dmsn4,Msn2G,A,0,3,21
22,febseq_1,NONDBDOE_dmsn4,Msn2H,A,0,1,22
23,febseq_1,NONDBDOE_dmsn4,Msn2H,A,0,2,23
24,febseq_1,NONDBDOE_dmsn4,Msn2H,A,0,3,24
25,febseq_1,NONDBDOE_dmsn4,Msn2A,A,180,1,25
26,febseq_1,NONDBDOE_dmsn4,Msn2A,A,180,2,26
27,febseq_1,NONDBDOE_dmsn4,Msn2A,A,180,3,27
28,febseq_1,NONDBDOE_dmsn4,Msn2B,A,180,1,28
29,febseq_1,NONDBDOE_dmsn4,Msn2B,A,180,2,29
30,febseq_1,NONDBDOE_dmsn4,Msn2B,A,180,3,30
31,febseq_1,NONDBDOE_dmsn4,Msn2C,A,180,1,31
32,febseq_1,NONDBDOE_dmsn4,Msn2C,A,180,2,32
33,febseq_2,NONDBDOE_dmsn4,Msn2C,A,180,3,1
34,febseq_2,NONDBDOE_dmsn4,Msn2D,A,180,1,2
35,febseq_2,NONDBDOE_dmsn4,Msn2D,A,180,2,3
36,febseq_2,NONDBDOE_dmsn4,Msn2D,A,180,3,4
37,febseq_2,NONDBDOE_dmsn4,Msn2E,A,180,1,5
38,febseq_2,NONDBDOE_dmsn4,Msn2E,A,180,2,6
39,febseq_2,NONDBDOE_dmsn4,Msn2E,A,180,3,7
40,febseq_2,NONDBDOE_dmsn4,Msn2F,A,180,1,8
41,febseq_2,NONDBDOE_dmsn4,Msn2F,A,180,2,9
42,febseq_2,NONDBDOE_dmsn4,Msn2F,A,180,3,10
43,febseq_2,NONDBDOE_dmsn4,Msn2G,A,180,1,11
44,febseq_2,NONDBDOE_dmsn4,Msn2G,A,180,2,12
45,febseq_2,NONDBDOE_dmsn4,Msn2G,A,180,3,13
46,febseq_2,NONDBDOE_dmsn4,Msn2H,A,180,1,14
47,febseq_2,NONDBDOE_dmsn4,Msn2H,A,180,2,15
48,febseq_2,NONDBDOE_dmsn4,Msn2H,A,180,3,16
49,febseq_2,Med15_ddmsns,Msn2A,A,0,1,17
50,febseq_2,Med15_ddmsns,Msn2A,A,0,2,18
51,febseq_2,Med15_ddmsns,Msn2A,A,0,3,19
52,febseq_2,Med15_ddmsns,Msn2B,A,0,1,20
53,febseq_2,Med15_ddmsns,Msn2B,A,0,2,21
54,febseq_2,Med15_ddmsns,Msn2B,A,0,3,22
55,febseq_2,Med15_ddmsns,Msn2C,A,0,1,23
56,febseq_2,Med15_ddmsns,Msn2C,A,0,2,24
57,febseq_2,Med15_ddmsns,Msn2C,A,0,3,25
58,febseq_2,Med15_ddmsns,Msn2D,A,0,1,26
59,febseq_2,Med15_ddmsns,Msn2D,A,0,2,27
60,febseq_2,Med15_ddmsns,Msn2D,A,0,3,28
61,febseq_2,Med15_ddmsns,Msn2E,A,0,1,29
62,febseq_2,Med15_ddmsns,Msn2E,A,0,2,30
63,febseq_2,Med15_ddmsns,Msn2E,A,0,3,31
64,febseq_2,Med15_ddmsns,Msn2F,A,0,1,32
65,febseq_3,Med15_ddmsns,Msn2F,A,0,2,1
66,febseq_3,Med15_ddmsns,Msn2F,A,0,3,2
67,febseq_3,Med15_ddmsns,Msn2G,A,0,1,3
68,febseq_3,Med15_ddmsns,Msn2G,A,0,2,4
69,febseq_3,Med15_ddmsns,Msn2G,A,0,3,5
70,febseq_3,Med15_ddmsns,Msn2H,A,0,1,6
71,febseq_3,Med15_ddmsns,Msn2H,A,0,2,7
72,febseq_3,Med15_ddmsns,Msn2H,A,0,3,8
73,febseq_3,Med15_ddmsns,Msn2A,A,180,1,9
74,febseq_3,Med15_ddmsns,Msn2A,A,180,2,10
75,febseq_3,Med15_ddmsns,Msn2A,A,180,3,11
76,febseq_3,Med15_ddmsns,Msn2B,A,180,1,12
77,febseq_3,Med15_ddmsns,Msn2B,A,180,2,13
78,febseq_3,Med15_ddmsns,Msn2B,A,180,3,14
79,febseq_3,Med15_ddmsns,Msn2C,A,180,1,15
80,febseq_3,Med15_ddmsns,Msn2C,A,180,2,16
81,febseq_3,Med15_ddmsns,Msn2C,A,180,3,17
82,febseq_3,Med15_ddmsns,Msn2D,A,180,1,18
83,febseq_3,Med15_ddmsns,Msn2D,A,180,2,19
84,febseq_3,Med15_ddmsns,Msn2D,A,180,3,20
85,febseq_3,Med15_ddmsns,Msn2E,A,180,1,21
86,febseq_3,Med15_ddmsns,Msn2E,A,180,2,22
87,febseq_3,Med15_ddmsns,Msn2E,A,180,3,23
88,febseq_3,Med15_ddmsns,Msn2F,A,180,1,24
89,febseq_3,Med15_ddmsns,Msn2F,A,180,2,25
90,febseq_3,Med15_ddmsns,Msn2F,A,180,3,26
91,febseq_3,Med15_ddmsns,Msn2G,A,180,1,27
92,febseq_3,Med15_ddmsns,Msn2G,A,180,2,28
93,febseq_3,Med15_ddmsns,Msn2G,A,180,3,29
94,febseq_3,Med15_ddmsns,Msn2H,A,180,1,30
95,febseq_3,Med15_ddmsns,Msn2H,A,180,2,31
96,febseq_3,Med15_ddmsns,Msn2H,A,180,3,32
